100000 1000
2
1 -62127 579669
2
1 -62167 579652
2
1 -62177 579646
2
1 -62177 579627
2
1 -62179 579611
2
1 -62193 579584
2
1 -62235 579562
2
1 -62249 579557
2
1 -62253 579532
2
1 -62284 579496
2
1 -62295 579462
2
1 -62302 579423
2
1 -62319 579379
2
1 -62326 579347
2
1 -62365 579318
2
1 -62398 579289
2
1 -62409 579254
2
1 -62417 579226
2
1 -62458 579217
2
1 -62468 579212
2
1 -62493 579188
2
1 -62525 579158
2
1 -62533 579149
2
1 -62568 579137
2
1 -62602 579108
2
1 -62613 579108
2
1 -62631 579090
2
1 -62670 579055
2
1 -62695 579054
2
1 -62724 579035
2
1 -62761 579018
2
1 -62765 579008
2
1 -62779 578996
2
1 -62780 578985
2
1 -62808 578974
2
1 -62831 578958
2
1 -62866 578947
2
1 -62867 578941
2
1 -62887 578905
2
1 -62905 578896
2
1 -62925 578860
2
1 -62941 578859
2
1 -62958 578842
2
1 -62994 578800
2
1 -63019 578779
2
1 -63035 578762
2
1 -63035 578735
2
1 -63063 578720
2
1 -63065 578684
2
1 -63098 578654
2
1 -63100 578643
2
1 -63101 578599
2
1 -63130 578590
2
1 -63135 578586
2
1 -63136 578555
2
1 -63156 578527
2
1 -63185 578491
2
1 -63214 578490
2
1 -63229 578462
2
1 -63234 578422
2
1 -63245 578393
2
1 -63258 578382
2
1 -63269 578379
2
1 -63302 578359
2
1 -63341 578338
2
1 -63354 578335
2
1 -63394 578314
2
1 -63396 578290
2
1 -63427 578275
2
1 -63463 578236
2
1 -63471 578225
2
1 -63500 578188
2
1 -63510 578167
2
1 -63511 578135
2
1 -63515 578129
2
1 -63543 578114
2
1 -63578 578111
2
1 -63611 578102
2
1 -63617 578080
2
1 -63653 578073
2
1 -63658 578069
2
1 -63675 578069
2
1 -63701 578043
2
1 -63726 578031
2
1 -63767 578015
2
1 -63780 578011
2
1 -63814 577969
2
1 -63818 577963
2
1 -63836 577958
2
1 -63875 577936
2
1 -63886 577907
2
1 -63930 577898
2
1 -63962 577858
2
1 -63987 577858
2
1 -64004 577842
2
1 -64018 577813
2
1 -64039 577782
2
1 -64069 577773
2
1 -64081 577756
2
1 -64102 577740
2
1 -64142 577699
2
1 -64169 577663
2
1 -64207 577632
2
1 -64250 577620
2
1 -64293 577576
2
1 -64334 577566
2
1 -64362 577563
2
1 -64388 577541
2
1 -64431 577535
2
1 -64453 577513
2
1 -64475 577477
2
1 -64481 577472
2
1 -64510 577436
2
1 -64524 577433
2
1 -64539 577391
2
1 -64565 577381
2
1 -64603 577365
2
1 -64605 577326
2
1 -64607 577319
2
1 -64620 577318
2
1 -64633 577302
2
1 -64651 577299
2
1 -64670 577255
2
1 -64695 577231
2
1 -64707 577222
2
1 -64708 577181
2
1 -64708 577173
2
1 -64717 577137
2
1 -64723 577107
2
1 -64762 577078
2
1 -64790 577050
2
1 -64829 577022
2
1 -64873 577019
2
1 -64902 577011
2
1 -64912 576969
2
1 -64928 576946
2
1 -64949 576912
2
1 -64975 576872
2
1 -65015 576859
2
1 -65042 576845
2
1 -65064 576817
2
1 -65075 576795
2
1 -65118 576768
2
1 -65138 576756
2
1 -65150 576734
2
1 -65191 576694
2
1 -65196 576652
2
1 -65227 576648
2
1 -65228 576626
2
1 -65240 576608
2
1 -65260 576579
2
1 -65302 576538
2
1 -65327 576508
2
1 -65370 576480
2
1 -65414 576448
2
1 -65456 576427
2
1 -65472 576412
2
1 -65478 576391
2
1 -65520 576365
2
1 -65560 576355
2
1 -65563 576312
2
1 -65575 576297
2
1 -65616 576292
2
1 -65635 576250
2
1 -65663 576211
2
1 -65678 576201
2
1 -65701 576182
2
1 -65714 576172
2
1 -65726 576154
2
1 -65764 576143
2
1 -65770 576107
2
1 -65809 576078
2
1 -65822 576078
2
1 -65827 576067
2
1 -65861 576059
2
1 -65882 576015
2
1 -65888 575975
2
1 -65903 575973
2
1 -65904 575932
2
1 -65910 575903
2
1 -65945 575874
2
1 -65984 575854
2
1 -65987 575847
2
1 -66018 575832
2
1 -66043 575808
2
1 -66076 575770
2
1 -66098 575742
2
1 -66120 575706
2
1 -66155 575678
2
1 -66157 575654
2
1 -66193 575624
2
1 -66217 575582
2
1 -66242 575581
2
1 -66249 575548
2
1 -66291 575535
2
1 -66308 575502
2
1 -66350 575484
2
1 -66358 575476
2
1 -66390 575437
2
1 -66420 575417
2
1 -66446 575391
2
1 -66459 575388
2
1 -66468 575352
2
1 -66469 575308
2
1 -66495 575298
2
1 -66519 575274
2
1 -66559 575264
2
1 -66580 575236
2
1 -66591 575201
2
1 -66607 575193
2
1 -66611 575152
2
1 -66652 575144
2
1 -66673 575132
2
1 -66696 575123
2
1 -66709 575114
2
1 -66738 575075
2
1 -66773 575033
2
1 -66816 575027
2
1 -66856 575021
2
1 -66861 575000
2
1 -66878 574964
2
1 -66878 574945
2
1 -66886 574916
2
1 -66888 574897
2
1 -66907 574871
2
1 -66942 574841
2
1 -66971 574803
2
1 -67010 574798
2
1 -67015 574774
2
1 -67029 574755
2
1 -67062 574712
2
1 -67075 574682
2
1 -67078 574664
2
1 -67121 574621
2
1 -67146 574610
2
1 -67173 574606
2
1 -67175 574579
2
1 -67198 574568
2
1 -67209 574542
2
1 -67246 574511
2
1 -67260 574484
2
1 -67276 574441
2
1 -67297 574424
2
1 -67300 574398
2
1 -67342 574373
2
1 -67349 574336
2
1 -67372 574315
2
1 -67402 574282
2
1 -67403 574254
2
1 -67442 574221
2
1 -67481 574200
2
1 -67518 574196
2
1 -67521 574180
2
1 -67543 574158
2
1 -67547 574144
2
1 -67562 574119
2
1 -67604 574088
2
1 -67627 574063
2
1 -67638 574030
2
1 -67644 574015
2
1 -67657 574001
2
1 -67671 573957
2
1 -67713 573913
2
1 -67752 573908
2
1 -67787 573875
2
1 -67826 573846
2
1 -67835 573815
2
1 -67868 573795
2
1 -67870 573785
2
1 -67912 573772
2
1 -67944 573760
2
1 -67982 573731
2
1 -67987 573708
2
1 -68003 573685
2
1 -68015 573656
2
1 -68053 573631
2
1 -68058 573616
2
1 -68089 573614
2
1 -68103 573588
2
1 -68111 573584
2
1 -68125 573582
2
1 -68166 573551
2
1 -68206 573515
2
1 -68212 573510
2
1 -68221 573500
2
1 -68239 573459
2
1 -68268 573447
2
1 -68300 573413
2
1 -68335 573410
2
1 -68355 573401
2
1 -68387 573381
2
1 -68422 573343
2
1 -68457 573315
2
1 -68459 573303
2
1 -68468 573293
2
1 -68484 573269
2
1 -68503 573250
2
1 -68520 573235
2
1 -68531 573212
2
1 -68558 573192
2
1 -68598 573192
2
1 -68614 573168
2
1 -68633 573165
2
1 -68653 573148
2
1 -68666 573146
2
1 -68692 573146
2
1 -68715 573123
2
1 -68715 573110
2
1 -68722 573107
2
1 -68747 573084
2
1 -68767 573080
2
1 -68769 573040
2
1 -68792 573021
2
1 -68809 572987
2
1 -68813 572943
2
1 -68829 572937
2
1 -68835 572905
2
1 -68872 572872
2
1 -68914 572852
2
1 -68919 572842
2
1 -68941 572804
2
1 -68959 572804
2
1 -68983 572786
2
1 -69004 572748
2
1 -69025 572740
2
1 -69041 572698
2
1 -69060 572672
2
1 -69104 572629
2
1 -69111 572606
2
1 -69150 572594
2
1 -69179 572583
2
1 -69204 572548
2
1 -69209 572530
2
1 -69232 572527
2
1 -69270 572492
2
1 -69290 572477
2
1 -69319 572439
2
1 -69342 572424
2
1 -69361 572418
2
1 -69369 572416
2
1 -69383 572392
2
1 -69427 572358
2
1 -69432 572353
2
1 -69471 572333
2
1 -69499 572293
2
1 -69531 572281
2
1 -69537 572262
2
1 -69547 572243
2
1 -69591 572203
2
1 -69620 572166
2
1 -69651 572162
2
1 -69666 572140
2
1 -69671 572140
2
1 -69708 572109
2
1 -69714 572102
2
1 -69747 572082
2
1 -69778 572042
2
1 -69794 571998
2
1 -69794 571988
2
1 -69813 571952
2
1 -69819 571939
2
1 -69822 571920
2
1 -69861 571900
2
1 -69861 571861
2
1 -69877 571832
2
1 -69908 571830
2
1 -69949 571822
2
1 -69973 571814
2
1 -69981 571791
2
1 -70020 571777
2
1 -70050 571750
2
1 -70092 571727
2
1 -70121 571714
2
1 -70150 571684
2
1 -70181 571674
2
1 -70202 571630
2
1 -70232 571599
2
1 -70250 571574
2
1 -70257 571555
2
1 -70283 571532
2
1 -70293 571520
2
1 -70325 571514
2
1 -70353 571496
2
1 -70367 571460
2
1 -70408 571445
2
1 -70421 571412
2
1 -70464 571402
2
1 -70482 571368
2
1 -70505 571358
2
1 -70524 571342
2
1 -70544 571340
2
1 -70559 571327
2
1 -70593 571293
2
1 -70631 571290
2
1 -70646 571271
2
1 -70679 571246
2
1 -70717 571226
2
1 -70756 571198
2
1 -70794 571190
2
1 -70814 571149
2
1 -70838 571109
2
1 -70874 571080
2
1 -70879 571071
2
1 -70897 571036
2
1 -70916 571036
2
1 -70923 571034
2
1 -70925 571012
2
1 -70940 570969
2
1 -70958 570954
2
1 -70959 570914
2
1 -71000 570873
2
1 -71028 570839
2
1 -71044 570817
2
1 -71069 570808
2
1 -71106 570801
2
1 -71118 570785
2
1 -71120 570782
2
1 -71127 570768
2
1 -71147 570735
2
1 -71151 570696
2
1 -71191 570678
2
1 -71194 570636
2
1 -71197 570618
2
1 -71200 570590
2
1 -71233 570579
2
1 -71257 570550
2
1 -71265 570536
2
1 -71291 570512
2
1 -71327 570506
2
1 -71368 570478
2
1 -71381 570463
2
1 -71388 570441
2
1 -71407 570427
2
1 -71443 570388
2
1 -71452 570386
2
1 -71492 570382
2
1 -71520 570338
2
1 -71529 570307
2
1 -71546 570295
2
1 -71567 570282
2
1 -71597 570275
2
1 -71601 570237
2
1 -71622 570207
2
1 -71647 570195
2
1 -71690 570167
2
1 -71731 570149
2
1 -71774 570139
2
1 -71814 570115
2
1 -71845 570077
2
1 -71870 570036
2
1 -71911 570015
2
1 -71918 569991
2
1 -71945 569975
2
1 -71962 569969
2
1 -71997 569969
2
1 -72016 569948
2
1 -72024 569924
2
1 -72045 569895
2
1 -72061 569887
2
1 -72065 569865
2
1 -72108 569858
2
1 -72148 569854
2
1 -72165 569811
2
1 -72193 569808
2
1 -72229 569799
2
1 -72235 569760
2
1 -72272 569746
2
1 -72297 569727
2
1 -72334 569685
2
1 -72359 569657
2
1 -72364 569650
2
1 -72375 569637
2
1 -72406 569598
2
1 -72410 569589
2
1 -72420 569574
2
1 -72451 569566
2
1 -72473 569532
2
1 -72485 569531
2
1 -72524 569528
2
1 -72536 569491
2
1 -72548 569473
2
1 -72580 569462
2
1 -72619 569450
2
1 -72649 569418
2
1 -72666 569401
2
1 -72681 569379
2
1 -72705 569346
2
1 -72747 569329
2
1 -72774 569321
2
1 -72801 569277
2
1 -72825 569257
2
1 -72833 569256
2
1 -72849 569229
2
1 -72859 569212
2
1 -72889 569190
2
1 -72899 569186
2
1 -72939 569144
2
1 -72954 569102
2
1 -72970 569102
2
1 -72999 569069
2
1 -73024 569063
2
1 -73041 569059
2
1 -73080 569038
2
1 -73102 569010
2
1 -73132 568999
2
1 -73160 568990
2
1 -73198 568947
2
1 -73215 568930
2
1 -73240 568903
2
1 -73274 568885
2
1 -73278 568841
2
1 -73300 568834
2
1 -73303 568796
2
1 -73307 568776
2
1 -73307 568736
2
1 -73322 568711
2
1 -73323 568671
2
1 -73360 568669
2
1 -73376 568648
2
1 -73413 568640
2
1 -73445 568620
2
1 -73462 568588
2
1 -73487 568546
2
1 -73491 568533
2
1 -73522 568532
2
1 -73553 568496
2
1 -73560 568488
2
1 -73565 568477
2
1 -73566 568461
2
1 -73604 568452
2
1 -73615 568444
2
1 -73649 568425
2
1 -73652 568392
2
1 -73673 568365
2
1 -73682 568352
2
1 -73717 568311
2
1 -73758 568296
2
1 -73794 568268
2
1 -73813 568266
2
1 -73854 568261
2
1 -73857 568234
2
1 -73860 568216
2
1 -73903 568208
2
1 -73932 568164
2
1 -73963 568142
2
1 -73978 568138
2
1 -74015 568126
2
1 -74038 568123
2
1 -74038 568079
2
1 -74068 568069
2
1 -74088 568042
2
1 -74101 568019
2
1 -74105 568015
2
1 -74111 567992
2
1 -74125 567989
2
1 -74154 567965
2
1 -74191 567926
2
1 -74233 567891
2
1 -74243 567865
2
1 -74285 567824
2
1 -74295 567812
2
1 -74296 567809
2
1 -74320 567785
2
1 -74326 567753
2
1 -74357 567710
2
1 -74399 567704
2
1 -74424 567694
2
1 -74460 567657
2
1 -74482 567615
2
1 -74497 567572
2
1 -74504 567566
2
1 -74526 567566
2
1 -74527 567546
2
1 -74562 567535
2
1 -74570 567503
2
1 -74584 567484
2
1 -74591 567469
2
1 -74620 567431
2
1 -74622 567396
2
1 -74647 567363
2
1 -74687 567341
2
1 -74688 567321
2
1 -74728 567284
2
1 -74747 567260
2
1 -74788 567218
2
1 -74810 567214
2
1 -74813 567208
2
1 -74817 567197
2
1 -74850 567196
2
1 -74879 567154
2
1 -74920 567148
2
1 -74943 567145
2
1 -74964 567131
2
1 -75005 567101
2
1 -75016 567072
2
1 -75041 567066
2
1 -75047 567033
2
1 -75080 567025
2
1 -75112 567017
2
1 -75151 566988
2
1 -75156 566972
2
1 -75189 566957
2
1 -75219 566913
2
1 -75253 566895
2
1 -75253 566877
2
1 -75275 566836
2
1 -75306 566829
2
1 -75312 566814
2
1 -75333 566804
2
1 -75333 566772
2
1 -75372 566746
2
1 -75410 566739
2
1 -75431 566705
2
1 -75454 566696
2
1 -75496 566679
2
1 -75534 566670
2
1 -75575 566637
2
1 -75599 566611
2
1 -75631 566598
2
1 -75637 566566
2
1 -75676 566537
2
1 -75712 566512
2
1 -75748 566508
2
1 -75750 566488
2
1 -75764 566485
2
1 -75778 566470
2
1 -75814 566455
2
1 -75844 566443
2
1 -75848 566435
2
1 -75869 566427
2
1 -75894 566406
2
1 -75911 566385
2
1 -75920 566344
2
1 -75929 566303
2
1 -75946 566287
2
1 -75982 566269
2
1 -75989 566242
2
1 -75994 566199
2
1 -76032 566191
2
1 -76057 566183
2
1 -76068 566143
2
1 -76098 566134
2
1 -76108 566119
2
1 -76129 566098
2
1 -76152 566093
2
1 -76181 566082
2
1 -76207 566081
2
1 -76239 566038
2
1 -76243 566034
2
1 -76282 566013
2
1 -76302 565983
2
1 -76341 565956
2
1 -76360 565949
2
1 -76392 565936
2
1 -76407 565923
2
1 -76435 565890
2
1 -76450 565877
2
1 -76492 565845
2
1 -76528 565820
2
1 -76536 565806
2
1 -76573 565769
2
1 -76598 565750
2
1 -76636 565730
2
1 -76653 565688
2
1 -76677 565670
2
1 -76703 565664
2
1 -76714 565637
2
1 -76747 565607
2
1 -76781 565587
2
1 -76786 565583
2
1 -76826 565543
2
1 -76863 565526
2
1 -76872 565485
2
1 -76876 565478
2
1 -76898 565466
2
1 -76919 565452
2
1 -76923 565443
2
1 -76963 565439
2
1 -76999 565420
2
1 -77008 565405
2
1 -77008 565370
2
1 -77029 565359
2
1 -77046 565343
2
1 -77049 565329
2
1 -77092 565320
2
1 -77110 565319
2
1 -77114 565301
2
1 -77132 565281
2
1 -77146 565258
2
1 -77180 565215
2
1 -77222 565204
2
1 -77242 565195
2
1 -77269 565180
2
1 -77282 565162
2
1 -77324 565140
2
1 -77364 565098
2
1 -77383 565075
2
1 -77391 565031
2
1 -77392 565013
2
1 -77405 564969
2
1 -77439 564931
2
1 -77439 564930
2
1 -77450 564911
2
1 -77471 564878
2
1 -77475 564867
2
1 -77513 564866
2
1 -77542 564853
2
1 -77552 564835
2
1 -77581 564804
2
1 -77624 564771
2
1 -77639 564771
2
1 -77669 564736
2
1 -77692 564736
2
1 -77733 564705
2
1 -77751 564696
2
1 -77781 564688
2
1 -77783 564650
2
1 -77792 564629
2
1 -77811 564592
2
1 -77827 564569
2
1 -77837 564560
2
1 -77868 564559
2
1 -77891 564555
2
1 -77910 564541
2
1 -77945 564517
2
1 -77954 564512
2
1 -77978 564473
2
1 -77980 564464
2
1 -77981 564421
2
1 -78021 564402
2
1 -78035 564369
2
1 -78069 564345
2
1 -78095 564340
2
1 -78102 564340
2
1 -78145 564317
2
1 -78175 564302
2
1 -78214 564279
2
1 -78231 564255
2
1 -78258 564212
2
1 -78258 564188
2
1 -78281 564179
2
1 -78318 564177
2
1 -78328 564138
2
1 -78340 564127
2
1 -78340 564113
2
1 -78378 564092
2
1 -78380 564058
2
1 -78380 564023
2
1 -78420 564009
2
1 -78462 563971
2
1 -78506 563944
2
1 -78514 563943
2
1 -78527 563911
2
1 -78552 563871
2
1 -78583 563838
2
1 -78603 563829
2
1 -78607 563810
2
1 -78618 563795
2
1 -78638 563765
2
1 -78671 563738
2
1 -78678 563705
2
1 -78682 563689
2
1 -78712 563678
2
1 -78719 563653
2
1 -78745 563649
2
1 -78770 563617
2
1 -78809 563577
2
1 -78842 563570
2
1 -78870 563549
2
1 -78879 563535
2
1 -78888 563499
2
1 -78918 563486
2
1 -78928 563483
2
1 -78963 563452
2
1 -78997 563421
2
1 -79010 563418
2
1 -79036 563394
2
1 -79055 563383
2
1 -79091 563357
2
1 -79134 563333
2
1 -79172 563310
2
1 -79183 563271
2
1 -79202 563271
2
1 -79210 563262
2
1 -79238 563245
2
1 -79268 563208
2
1 -79284 563193
2
1 -79296 563160
2
1 -79314 563150
2
1 -79340 563136
2
1 -79381 563096
2
1 -79398 563067
2
1 -79424 563023
2
1 -79427 562999
2
1 -79459 562998
2
1 -79462 562973
2
1 -79494 562951
2
1 -79520 562938
2
1 -79549 562904
2
1 -79571 562892
2
1 -79585 562885
2
1 -79589 562855
2
1 -79611 562832
2
1 -79629 562830
2
1 -79662 562830
2
1 -79679 562794
2
1 -79681 562753
2
1 -79702 562718
2
1 -79742 562687
2
1 -79757 562659
2
1 -79789 562641
2
1 -79797 562615
2
1 -79837 562573
2
1 -79876 562542
2
1 -79907 562519
2
1 -79950 562519
2
1 -79980 562510
2
1 -80017 562496
2
1 -80050 562478
2
1 -80074 562450
2
1 -80099 562409
2
1 -80119 562382
2
1 -80156 562379
2
1 -80180 562346
2
1 -80214 562307
2
1 -80230 562279
2
1 -80243 562248
2
1 -80253 562233
2
1 -80281 562222
2
1 -80290 562200
2
1 -80325 562193
2
1 -80354 562166
2
1 -80378 562144
2
1 -80420 562125
2
1 -80460 562104
2
1 -80462 562084
2
1 -80486 562062
2
1 -80495 562046
2
1 -80527 562013
2
1 -80538 561985
2
1 -80573 561951
2
1 -80585 561941
2
1 -80613 561912
2
1 -80645 561894
2
1 -80685 561853
2
1 -80725 561823
2
1 -80736 561798
2
1 -80756 561763
2
1 -80765 561739
2
1 -80774 561735
2
1 -80781 561717
2
1 -80812 561686
2
1 -80815 561684
2
1 -80824 561649
2
1 -80866 561621
2
1 -80885 561589
2
1 -80902 561551
2
1 -80944 561551
2
1 -80966 561521
2
1 -80985 561497
2
1 -81018 561476
2
1 -81035 561432
2
1 -81043 561395
2
1 -81077 561378
2
1 -81093 561373
2
1 -81121 561350
2
1 -81145 561329
2
1 -81161 561302
2
1 -81184 561277
2
1 -81201 561249
2
1 -81209 561206
2
1 -81224 561180
2
1 -81260 561160
2
1 -81293 561147
2
1 -81305 561133
2
1 -81305 561133
2
1 -81348 561116
2
1 -81348 561110
2
1 -81357 561069
2
1 -81381 561044
2
1 -81383 561030
2
1 -81393 561004
2
1 -81429 560978
2
1 -81444 560957
2
1 -81450 560925
2
1 -81454 560903
2
1 -81485 560876
2
1 -81495 560847
2
1 -81504 560804
2
1 -81509 560783
2
1 -81529 560778
2
1 -81557 560760
2
1 -81579 560732
2
1 -81603 560701
2
1 -81635 560691
2
1 -81653 560657
2
1 -81678 560622
2
1 -81700 560599
2
1 -81716 560562
2
1 -81760 560533
2
1 -81791 560529
2
1 -81804 560505
2
1 -81835 560482
2
1 -81844 560442
2
1 -81873 560428
2
1 -81896 560424
2
1 -81915 560418
2
1 -81944 560415
2
1 -81986 560407
2
1 -82027 560378
2
1 -82053 560357
2
1 -82078 560344
2
1 -82089 560342
2
1 -82125 560308
2
1 -82126 560273
2
1 -82151 560241
2
1 -82190 560202
2
1 -82209 560170
2
1 -82226 560142
2
1 -82260 560134
2
1 -82264 560115
2
1 -82276 560092
2
1 -82302 560089
2
1 -82335 560059
2
1 -82354 560030
2
1 -82375 560030
2
1 -82380 560029
2
1 -82393 560006
2
1 -82403 560002
2
1 -82415 559984
2
1 -82416 559947
2
1 -82421 559944
2
1 -82452 559920
2
1 -82487 559909
2
1 -82501 559877
2
1 -82520 559859
2
1 -82526 559820
2
1 -82529 559781
2
1 -82571 559745
2
1 -82595 559729
2
1 -82622 559729
2
1 -82638 559697
2
1 -82646 559661
2
1 -82656 559643
2
1 -82658 559614
2
1 -82694 559610
2
1 -82716 559606
2
1 -82723 559591
2
1 -82758 559587
2
1 -82784 559582
2
1 -82820 559581
2
1 -82850 559576
2
1 -82890 559542
2
1 -82934 559505
2
1 -82959 559481
2
1 -82968 559473
2
1 -82999 559441
2
1 -83001 559401
2
1 -83025 559381
2
1 -83045 559348
2
1 -83049 559329
2
1 -83086 559303
2
1 -83109 559297
2
1 -83113 559277
2
1 -83131 559247
2
1 -83156 559238
2
1 -83194 559227
2
1 -83208 559194
2
1 -83215 559173
2
1 -83248 559134
2
1 -83255 559130
2
1 -83264 559092
2
1 -83307 559080
2
1 -83347 559051
2
1 -83386 559035
2
1 -83404 558992
2
1 -83439 558975
2
1 -83471 558955
2
1 -83495 558919
2
1 -83497 558877
2
1 -83518 558849
2
1 -83531 558834
2
1 -83532 558799
2
1 -83542 558784
2
1 -83553 558779
2
1 -83562 558754
2
1 -83578 558735
2
1 -83596 558720
2
1 -83634 558706
2
1 -83678 558674
2
1 -83715 558650
2
1 -83745 558616
2
1 -83787 558592
2
1 -83803 558564
2
1 -83818 558546
2
1 -83850 558502
2
1 -83858 558495
2
1 -83879 558479
2
1 -83921 558441
2
1 -83952 558426
2
1 -83996 558385
2
1 -84036 558370
2
1 -84058 558349
2
1 -84095 558334
2
1 -84130 558297
2
1 -84139 558263
2
1 -84155 558224
2
1 -84178 558204
2
1 -84197 558165
2
1 -84200 558124
2
1 -84219 558082
2
1 -84259 558054
2
1 -84264 558031
2
1 -84308 558022
2
1 -84325 557991
2
1 -84350 557975
2
1 -84377 557948
2
1 -84415 557937
2
1 -84418 557906
2
1 -84444 557906
2
1 -84474 557871
2
1 -84515 557863
2
1 -84551 557844
2
1 -84587 557827
2
1 -84607 557826
2
1 -84621 557786
2
1 -84665 557770
2
1 -84688 557766
2
1 -84728 557744
2
1 -84741 557732
2
1 -84756 557732
2
1 -84791 557728
2
1 -84826 557693
2
1 -84841 557693
2
1 -84869 557690
2
1 -84870 557677
2
1 -84870 557673
2
1 -84899 557636
2
1 -84923 557616
2
1 -84939 557610
2
1 -84960 557573
2
1 -84961 557553
2
1 -84977 557522
2
1 -85008 557511
2
1 -85024 557504
2
1 -85054 557473
2
1 -85068 557446
2
1 -85104 557442
2
1 -85121 557436
2
1 -85126 557428
2
1 -85143 557415
2
1 -85164 557398
2
1 -85181 557386
2
1 -85190 557383
2
1 -85222 557350
2
1 -85232 557341
2
1 -85257 557323
2
1 -85293 557282
2
1 -85298 557252
2
1 -85312 557224
2
1 -85349 557218
2
1 -85363 557212
2
1 -85396 557200
2
1 -85414 557187
2
1 -85440 557164
2
1 -85461 557121
2
1 -85497 557117
2
1 -85512 557102
2
1 -85529 557070
2
1 -85548 557066
2
1 -85568 557037
2
1 -85588 557030
2
1 -85597 557011
2
1 -85601 556990
2
1 -85605 556965
2
1 -85609 556924
2
1 -85641 556905
2
1 -85650 556885
2
1 -85688 556858
2
1 -85728 556839
2
1 -85740 556823
2
1 -85764 556820
2
1 -85785 556780
2
1 -85811 556742
2
1 -85845 556742
2
1 -85849 556726
2
1 -85885 556694
2
1 -85908 556687
2
1 -85914 556653
2
1 -85943 556643
2
1 -85958 556610
2
1 -85971 556608
2
1 -85985 556586
2
1 -86014 556578
2
1 -86026 556553
2
1 -86060 556529
2
1 -86101 556515
2
1 -86136 556491
2
1 -86152 556475
2
1 -86176 556463
2
1 -86199 556427
2
1 -86227 556406
2
1 -86250 556400
2
1 -86278 556371
2
1 -86281 556359
2
1 -86320 556341
2
1 -86328 556327
2
1 -86348 556305
2
1 -86384 556301
2
1 -86421 556291
2
1 -86450 556264
2
1 -86485 556231
2
1 -86488 556206
2
1 -86500 556180
2
1 -86503 556136
2
1 -86541 556110
2
1 -86576 556082
2
1 -86578 556069
2
1 -86619 556032
2
1 -86661 555988
2
1 -86666 555945
2
1 -86683 555932
2
1 -86695 555888
2
1 -86737 555878
2
1 -86741 555843
2
1 -86762 555803
2
1 -86786 555792
2
1 -86821 555758
2
1 -86864 555755
2
1 -86886 555754
2
1 -86895 555739
2
1 -86922 555695
2
1 -86965 555659
2
1 -86984 555658
2
1 -87012 555642
2
1 -87013 555602
2
1 -87034 555584
2
1 -87049 555551
2
1 -87074 555538
2
1 -87079 555509
2
1 -87089 555483
2
1 -87120 555442
2
1 -87164 555420
2
1 -87194 555378
2
1 -87226 555371
2
1 -87269 555330
2
1 -87298 555298
2
1 -87300 555264
2
1 -87330 555243
2
1 -87365 555222
2
1 -87409 555186
2
1 -87425 555166
2
1 -87442 555127
2
1 -87457 555085
2
1 -87471 555065
2
1 -87504 555041
2
1 -87513 555015
2
1 -87540 555007
2
1 -87543 554995
2
1 -87556 554953
2
1 -87582 554935
2
1 -87582 554918
2
1 -87588 554916
2
1 -87594 554880
2
1 -87617 554877
2
1 -87629 554848
2
1 -87631 554812
2
1 -87635 554786
2
1 -87665 554760
2
1 -87695 554716
2
1 -87697 554698
2
1 -87727 554680
2
1 -87733 554668
2
1 -87766 554658
2
1 -87797 554657
2
1 -87811 554638
2
1 -87831 554623
2
1 -87867 554590
2
1 -87884 554586
2
1 -87915 554583
2
1 -87929 554577
2
1 -87961 554561
2
1 -88003 554517
2
1 -88007 554483
2
1 -88032 554449
2
1 -88072 554415
2
1 -88086 554390
2
1 -88093 554369
2
1 -88137 554328
2
1 -88175 554298
2
1 -88217 554291
2
1 -88228 554267
2
1 -88250 554265
2
1 -88262 554263
2
1 -88275 554257
2
1 -88287 554230
2
1 -88299 554224
2
1 -88305 554208
2
1 -88310 554198
2
1 -88315 554160
2
1 -88315 554153
2
1 -88342 554139
2
1 -88381 554104
2
1 -88423 554066
2
1 -88461 554031
2
1 -88491 553996
2
1 -88534 553955
2
1 -88556 553928
2
1 -88561 553894
2
1 -88597 553876
2
1 -88637 553873
2
1 -88637 553859
2
1 -88647 553853
2
1 -88677 553831
2
1 -88694 553789
2
1 -88709 553765
2
1 -88713 553722
2
1 -88713 553679
2
1 -88753 553636
2
1 -88789 553603
2
1 -88822 553575
2
1 -88845 553537
2
1 -88869 553530
2
1 -88897 553501
2
1 -88901 553482
2
1 -88910 553476
2
1 -88940 553466
2
1 -88961 553464
2
1 -88984 553458
2
1 -89008 553418
2
1 -89012 553378
2
1 -89038 553370
2
1 -89076 553343
2
1 -89090 553303
2
1 -89115 553291
2
1 -89143 553271
2
1 -89184 553258
2
1 -89205 553238
2
1 -89226 553227
2
1 -89238 553202
2
1 -89275 553181
2
1 -89306 553159
2
1 -89344 553152
2
1 -89368 553135
2
1 -89389 553124
2
1 -89408 553092
2
1 -89414 553091
2
1 -89416 553085
2
1 -89451 553069
2
1 -89452 553047
2
1 -89481 553018
2
1 -89523 552993
2
1 -89565 552968
2
1 -89572 552950
2
1 -89615 552924
2
1 -89620 552888
2
1 -89630 552851
2
1 -89650 552848
2
1 -89656 552841
2
1 -89683 552807
2
1 -89701 552798
2
1 -89722 552774
2
1 -89739 552750
2
1 -89776 552743
2
1 -89816 552705
2
1 -89845 552674
2
1 -89874 552641
2
1 -89892 552608
2
1 -89906 552575
2
1 -89920 552563
2
1 -89934 552544
2
1 -89944 552520
2
